숙소 링크,평점,후기 개수,이미지 파일
https://www.airbnb.co.kr/rooms/1291301483912576336?search_mode=regular_search&adults=1&check_in=2025-08-29&check_out=2025-09-03&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P3atjdGigr7N-taa&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,4.95,22.0,airbnb_images\숙소_18.jpg
https://www.airbnb.co.kr/rooms/1269481262836819283?search_mode=regular_search&adults=1&check_in=2025-05-18&check_out=2025-05-23&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3IhudWLCQg_ZvAp&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,4.86,28.0,airbnb_images\숙소_19.jpg
https://www.airbnb.co.kr/rooms/1309066628704325203?search_mode=regular_search&adults=1&check_in=2025-05-05&check_out=2025-05-10&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3QSHvAEV5LP174D&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,4.87,15.0,airbnb_images\숙소_20.jpg
https://www.airbnb.co.kr/rooms/46827730?search_mode=regular_search&adults=1&check_in=2025-05-06&check_out=2025-05-11&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3eROD4QQP7lksgm&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,4.73,266.0,airbnb_images\숙소_21.jpg
https://www.airbnb.co.kr/rooms/1386746268119377133?search_mode=regular_search&adults=1&check_in=2025-04-27&check_out=2025-05-02&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P39lMSeLTx3Em1Md&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,,1.0,airbnb_images\숙소_22.jpg
https://www.airbnb.co.kr/rooms/1291305951276476851?search_mode=regular_search&adults=1&check_in=2025-06-23&check_out=2025-06-28&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P32zAe1T_o-6MTI4&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,5.0,22.0,airbnb_images\숙소_23.jpg
https://www.airbnb.co.kr/rooms/1335277105241119559?search_mode=regular_search&adults=1&check_in=2025-06-17&check_out=2025-06-22&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3SS6bkG4uNsiKjX&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,4.93,14.0,airbnb_images\숙소_24.jpg
https://www.airbnb.co.kr/rooms/1338246356494711480?search_mode=regular_search&adults=1&check_in=2025-05-12&check_out=2025-05-17&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3ouP_2UVvk1Sfki&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,5.0,3.0,airbnb_images\숙소_25.jpg
https://www.airbnb.co.kr/rooms/1357187672189966983?search_mode=regular_search&adults=1&check_in=2025-06-28&check_out=2025-07-03&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3PzF9XtHEjHXiG0&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,5.0,12.0,airbnb_images\숙소_26.jpg
https://www.airbnb.co.kr/rooms/886499767757358742?search_mode=regular_search&adults=1&check_in=2025-04-27&check_out=2025-05-02&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3I68T1FkpE2rNHk&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,4.85,78.0,airbnb_images\숙소_27.jpg
